"Late in 1606, English colonizers set sail with a charter from the London Company to establish a colony in the New World.",Who set sail to establish a colony in the New World?,
"The fleet consisted of the ships Susan Constant, Discovery, and Godspeed, all under the leadership of Captain Christopher Newport.",What ships was the fleet consisted of?,
"They made a particularly long voyage of four months, including a stop in Canary Islands and subsequently Puerto Rico, and finally departed for the American mainland on April 10, 1607.","How long was the voyage, and which islands did they stop on?",
"The expedition made landfall on April 26, 1607 at a place which they named Cape Henry.",When did the expedition make landfall?,
"Under orders to select a more secure location, they set about exploring what is now Hampton Roads and an outlet to the Chesapeake Bay which they named the James River in honor of King James I of England.",Where did they set about exploring?,
"Captain Edward Maria Wingfield was elected president of the governing council on April 25, 1607.","Who was elected president of the governing council on April 25, 1607?",
"On May 14, he selected a piece of land on a large peninsula some 40 miles (64 km) inland from the Atlantic Ocean as a prime location for a fortified settlement.",Where was the piece of land selected as a prime location for a fortified settlement?,
"The river channel was a defensible strategic point due to a curve in the river, and it was close to the land, making it navigable and offering enough land for piers or wharves to be built in the future.",What were the characteristics of the river channel?,
"Perhaps the most favorable fact about the location was that it was not inhabited by nearby Virginia Indian tribes, who regarded the site as too poor and remote for agriculture.",What was the MOST favorable fact about the location?,
"The island was swampy and isolated, and it offered limited space, was plagued by mosquitoes, and afforded only brackish tidal river water unsuitable for drinking.",What were the characteristics of the island?,
"The Jamestown settlers arrived in Virginia during a severe drought, according to a research study conducted by the Jamestown Archaeological Assessment (JAA) team in the 1990s.","According to a research study conducted by the Jamestown Archaeological Assessment (JAA) team in the 1990s, when did the Jamestown settlers arrive in Virginia?",
"The JAA analyzed information from a study conducted in 1985 by David Stahle and others, who obtained borings of 800 year-old baldcypress trees along the Nottoway and Blackwater rivers.",What information did they use in this study?,
"The lifespan of these trees is up to 1,000 years and their rings offer a good indication of an area's annual amount of rainfall.",What is the maximum lifespan of the trees used?,
The borings revealed that the worst drought in 700 years occurred between 1606 and 1612.,When did the worst drought in years occur?,
This severe drought affected the Jamestown colonists and Powhatan tribe's ability to produce food and obtain a safe supply of water.,What abilities of the Jamestown colonists and Powhatan tribe were affected by the drought?,
The settlers also arrived too late in the year to get crops planted.,The settlers arrived too late in the year to do what?,
"Many in the group were either gentlemen unused to work or their manservants, both equally unaccustomed to the hard labor demanded by the harsh task of carving out a viable colony.",Who was in the group?,
"One of these was Robert Hunt, a former vicar of Reculver, England who celebrated the first known Eucharist in the territory of the future United States on June 21, 1607.","Who celebrated the first known Eucharist in the territory of the future United States on June 21, 1607?",
"In a few months, 80% of the party were dead; some of the survivors were deserting to the Indians whose land they had colonized.",What percentage of the party died in the first few months?,
"Virginia Native Americans had established settlements long before the English settlers arrived, and there were an estimated 14,000 in the region who were politically known as Tsenacommacah and who spoke an Algonquian language.",Who had established settlements long before the English settlers arrived?,
"They were the Powhatan Confederacy, ruled by their paramount chief known as Wahunsenacawh or ""Chief Powhatan"".","What was the confederacy ruled by the chief known as Wahunsenacawh or ""Chief Powhatan""?",
,,
,,
"Wahunsenacawh initially sought to resettle the English colonists from Jamestown, considered part of Paspahegh territory, to another location known as Capahosick where they would make metal tools for him as members of his Confederacy, but this never transpired.",Who sought to resettle the English colonists from Jamestown?,
"The first explorers had been welcomed by the Indians with dancing, feasting, and tobacco ceremonies.",What had the first explorers had been welcomed by the Indians with?,
"Despite the hospitality of Wahunsenacawh, the presence of the English settlers and perhaps a further expedition up the James River by Captain Christopher Newport provoked the Paspahegh, Weyanock, and other groups to mount a series of attacks on the fort during period of violence lasting from May 27 to July 14, 1607.","When did the presence of the English settlers and perhaps a further expedition up the James River by Captain Christopher Newport provoked the Paspahegh, Weyanock, and other groups to mount a series of attacks on the fort?",
"Two-thirds of the settlers died before ships arrived in 1608 with supplies and German, Polish, and Slovak craftsmen, who helped to establish the first manufactories in the colony.","Two-thirds of the settlers died before ships arrived in 1608 with supplies and German, Polish, and Slovak craftsmen, who helped to establish what?",
"As a result, glassware became the foremost American products to be exported to Europe at the time.",What became the foremost American product to be exported to Europe at the time?,
Clapboard had already been sent back to England beginning with the first returning ship., Where had clapboard already been sent back to?,
